Business,City,Rank,Score,Quick Win,Citation,Email Body
"The Local Bistro","st-catharines",1,94,"Add 5+ photos to your Google listing","https://google.com/maps","Hi [Owner], Congrats on ranking #1 in St. Catharines restaurants with a 94 trust score! Your Google Maps listing is verified and strong. Quick win: Adding 5+ high-quality photos could push you to 97+. Want to showcase your ranking? Our Premium Badge ($49/mo) lets you embed your live score on your website. Customers see your #1 status instantly. Details: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
"Harvest Table","st-catharines",2,91,"Respond to your 3 recent reviews","https://facebook.com","Hi [Owner], You're #2 in St. Catharines with a 91 score—excellent! Your Facebook page is active and engaging. Quick win: Respond to your 3 newest reviews (boosts score by 3-5 points). Premium Badge ($49/mo) displays your ranking on your site, building instant credibility. Verified businesses see 30% more inquiries. Join here: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
"Waterfront Grill","st-catharines",3,89,"Update business hours for holidays","https://yelp.com","Hi [Owner], Ranked #3 in St. Catharines restaurants (89 score). Your Yelp profile is claimed and well-maintained. Quick win: Update holiday hours now to avoid customer confusion. Show off your top-3 ranking with our Premium Badge ($49/mo)—embeddable score widget for your homepage. Stand out instantly: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
"Main Street Diner","st-catharines",4,87,"Add menu link to Google listing","https://google.com/maps","Hi [Owner], You're #4 in St. Catharines (87 score). Google listing verified and popular. Quick win: Add a direct menu link to your profile—customers love this. Premium Badge ($49/mo) puts your ranking front and center on your website. Builds trust in seconds. Get started: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
"Bella Vista","st-catharines",5,85,"Post 2 updates this month","https://facebook.com","Hi [Owner], Top 5! Your Bella Vista ranks #5 (85 score). Facebook engagement is solid. Quick win: Post 2 updates this month (events/specials) to hit 88. Premium Badge ($49/mo) showcases your top-5 status on your site. Verified ranking = more bookings. Details: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
"The Garden Cafe","st-catharines",6,83,"Claim your BBB listing","https://bbb.org","Hi [Owner], #6 in St. Catharines (83 score). Strong foundation! Quick win: Claim your BBB listing for instant +5 points. Premium Badge ($49/mo) displays your live ranking. Top-10 badge builds credibility with new customers. Claim it: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
"Sunset Restaurant","st-catharines",7,81,"Add website SSL certificate","https://example.com/reviews","Hi [Owner], You're #7 (81 score). Great placement! Quick win: Add SSL to your website (https://) for +3 points. Premium Badge ($49/mo) shows your ranking live on your homepage. Stand out in search results. Get it here: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
"Urban Kitchen","st-catharines",8,79,"Complete your service menu","https://google.com/maps","Hi [Owner], Top 10! Urban Kitchen ranks #8 (79 score). Google presence is solid. Quick win: Complete your full service menu on GMB. Premium Badge ($49/mo) embeds your top-10 ranking—instant trust signal for visitors. Join: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
"Niagara Eats","st-catharines",9,77,"Add business description","https://facebook.com","Hi [Owner], #9 ranking (77 score). You're in the top 10! Quick win: Add a compelling business description to Facebook. Premium Badge ($49/mo) showcases your top-10 status on your website. More visibility = more customers. Start: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
"Corner Cafe","st-catharines",10,75,"Respond to questions on GMB","https://google.com/maps","Hi [Owner], Top 10! Corner Cafe ranks #10 (75 score). Last spot in the winners' circle. Quick win: Answer customer questions on Google (3 pending). Premium Badge ($49/mo) displays your top-10 ranking. Lock in your status: https://buy.stripe.com/7sYbJ284F2QJbQI8GNaVa0i"
