Business,City,Rank,Score,Gap,Quick Win,Citation,Email Body
"The Grill House","st-catharines",11,73,2,"Add 10+ photos","https://google.com/maps","Hi [Owner], You're #11 in St. Catharines restaurants (73 score)—just 2 points from top 10! Quick win: Add 10 quality photos to your Google listing. Pro plan ($129/mo) gives you weekly score updates, competitor alerts, and analytics to track your climb. Move up 5 spots fast: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Pasta Place","st-catharines",12,71,4,"Claim Yelp profile","https://yelp.com","Hi [Owner], Ranked #12 (71 score). You're 4 points from top 10. Quick win: Claim your Yelp profile for instant boost. Pro plan ($129/mo) tracks your progress daily and shows you exactly what competitors are doing. Climb faster with insights: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Steakhouse Central","st-catharines",13,69,6,"Update business hours","https://facebook.com","Hi [Owner], #13 ranking (69 score). Gap to top 10: 6 points. Quick win: Update business hours across all platforms. Pro plan ($129/mo) gives you actionable weekly recommendations and competitor benchmarking. Jump 5+ ranks: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Family Diner","st-catharines",14,67,8,"Add menu to website","https://example.com/reviews","Hi [Owner], You're #14 (67 score). Top 10 is 8 points away. Quick win: Add full menu to your website. Pro plan ($129/mo) shows you weekly score changes and what's working for top competitors. Close the gap: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Brunch Spot","st-catharines",15,65,10,"Get 5 new reviews","https://google.com/maps","Hi [Owner], Ranked #15 (65 score). You're 10 points from top 10. Quick win: Get 5 new Google reviews this month. Pro plan ($129/mo) sends alerts when competitors pass you + shows exactly what to improve. Move up steadily: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Pizza Corner","st-catharines",16,63,12,"Respond to all reviews","https://yelp.com","Hi [Owner], #16 (63 score). Close to breaking top 15! Quick win: Respond to all pending reviews. Pro plan ($129/mo) tracks review response rates and competitor activity. Climb faster with data: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Sushi Place","st-catharines",17,61,14,"Add business photos","https://facebook.com","Hi [Owner], You're #17 (61 score). Quick win: Add 8+ business photos to Facebook. Pro plan ($129/mo) gives you competitor alerts and weekly action items to improve. Close the 14-point gap: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Taco Time","st-catharines",18,59,16,"Complete GMB profile","https://google.com/maps","Hi [Owner], Ranked #18 (59 score). Quick win: Complete your full Google Business Profile (services, attributes, Q&A). Pro plan ($129/mo) shows you what's missing vs. top competitors. Systematic improvement: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Burger Bar","st-catharines",19,57,18,"Get BBB accreditation","https://bbb.org","Hi [Owner], #19 ranking (57 score). Quick win: Get BBB accredited (+8 points typically). Pro plan ($129/mo) tracks all your improvements and competitor moves. Strategic climb to top 10: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Sandwich Shop","st-catharines",20,55,20,"Add SSL to website","https://example.com/reviews","Hi [Owner], You're #20 (55 score). Quick win: Add HTTPS to your website (+3-5 points). Pro plan ($129/mo) gives you the full roadmap to top 10 with weekly updates and competitor intelligence. Start climbing: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Coffee House","st-catharines",21,53,22,"Post weekly updates","https://facebook.com","Hi [Owner], Ranked #21 (53 score). Quick win: Post 4 updates this month on Facebook. Pro plan ($129/mo) shows you content strategies that work for top rankers. Data-driven growth: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Breakfast Nook","st-catharines",22,51,24,"Claim all listings","https://yelp.com","Hi [Owner], #22 (51 score). Quick win: Claim listings on Yelp, TripAdvisor, OpenTable. Pro plan ($129/mo) tracks all your listings and alerts you to gaps. Systematic approach: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
"Lunch Spot","st-catharines",23,49,26,"Add location map","https://google.com/maps","Hi [Owner], You're #23 (49 score). Quick win: Verify your Google Maps location pin is accurate. Pro plan ($129/mo) monitors all ranking factors weekly and shows competitor benchmarks. Move up strategically: https://buy.stripe.com/4gM4gA84FfDvdYQg9faVa0h"
